sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,confidence,prompt_type,annotator_profile_id,annotator_gender,annotator_age,annotator_race,annotator_education,annotator_description,raw_output,text,comment_id,index,profile_id
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,young_white_male,male,25 years old,White/Caucasian,College degree,Young white male with college education,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a hypothetical example for analysis. let's assume the comment is: ""this is the worst content ever created. it's a waste of time and",,41924,95,young_white_male
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,young_white_male,male,25 years old,White/Caucasian,College degree,Young white male with college education,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is blank, so i will provide a rating for each attribute based on the context of the analysis. 

please note that the comment is blank, so i will provide a neut",,8369,15,young_white_male
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,young_white_male,male,25 years old,White/Caucasian,College degree,Young white male with college education,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a default rating for each attribute. 

default ratings:
1. sentiment: 3
2. respect: 2
3. insult: 1
4. humiliate: 1
5. status: 2
6. ",,28621,30,young_white_male
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,young_white_male,male,25 years old,White/Caucasian,College degree,Young white male with college education,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a default rating for each attribute. 

default ratings:
1. sentiment: 3
2. respect: 2
3. insult: 1
4. humiliate: 1
5. status: 2
6. ",,20061,158,young_white_male
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,young_white_male,male,25 years old,White/Caucasian,College degree,Young white male with college education,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so the analysis will be based on the context provided. 

please note that the comment is empty, but i will provide a hypothetical example of a commen",,21275,128,young_white_male
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,young_white_male,male,25 years old,White/Caucasian,College degree,Young white male with college education,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a default rating for each attribute. 

default ratings:
1. sentiment: 3
2. respect: 2
3. insult: 1
4. humiliate: 1
5. status: 2
6. ",,21406,115,young_white_male
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,young_white_male,male,25 years old,White/Caucasian,College degree,Young white male with college education,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a default rating for each attribute. 

default ratings:
1. sentiment: 3
2. respect: 2
3. insult: 1
4. humiliate: 1
5. status: 2
6. ",,13674,69,young_white_male
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,young_white_male,male,25 years old,White/Caucasian,College degree,Young white male with college education,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so the analysis will be based on the context provided. 

please note that the comment is empty, but i will provide a hypothetical example of a commen",,28486,170,young_white_male
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,young_white_male,male,25 years old,White/Caucasian,College degree,Young white male with college education,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a hypothetical example for demonstration purposes. here is a revised comment:

comment: ""this is the most ridiculous thing i've eve",,32127,174,young_white_male
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,young_white_male,male,25 years old,White/Caucasian,College degree,Young white male with college education,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a default rating for each attribute. 

default ratings:
1. sentiment: 3
2. respect: 2
3. insult: 1
4. humiliate: 1
5. status: 2
6. ",,20018,45,young_white_male
