sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,confidence,prompt_type,annotator_profile_id,annotator_gender,annotator_description,raw_output,text,comment_id,index,profile_id,annotator_age,annotator_race,annotator_education,annotator_religion,annotator_ideology,annotator_income
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,male_basic,male,Male annotator,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a default rating for each attribute. 

default ratings:
1. sentiment: 3
2. respect: 2
3. insult: 1
4. humiliate: 1
5. status: 2
6. ",,41924,95,male_basic,,,,,,
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,male_basic,male,Male annotator,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i'll provide a default response.

3 2 1 1 2 1 1 1 3 0.8

please note that the analysis is subjective and may vary based on individual perspectives",,8369,15,male_basic,,,,,,
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,male_basic,male,Male annotator,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i'll provide a default response.

3 2 1 1 2 1 1 1 3 0.8

please note that the comment is empty, so the analysis is based on the absence of content",,28621,30,male_basic,,,,,,
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,male_basic,male,Male annotator,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a default rating for each attribute. 

default ratings:
1. sentiment: 3
2. respect: 2
3. insult: 1
4. humiliate: 1
5. status: 2
6. ",,20061,158,male_basic,,,,,,
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,male_basic,male,Male annotator,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so the analysis will be based on the context provided. 

please note that the comment is empty, so the analysis will be based on the context provided",,21275,128,male_basic,,,,,,
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,male_basic,male,Male annotator,"3 2 1 1 2 1 1 1 3 0.8

explanation: 
- sentiment: the comment is neutral as it does not express any strong emotions.
- respect: the comment is somewhat respectful as it does not contain any derogatory",,21406,115,male_basic,,,,,,
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,male_basic,male,Male annotator,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i'll provide a default response.

3 2 1 1 2 1 1 1 3 0.8

please note that the comment is empty, so i'll provide a default response. the ratings pr",,13674,69,male_basic,,,,,,
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,male_basic,male,Male annotator,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a default rating for each attribute.

ratings: 3 2 1 1 2 1 1 1 3 0.8

please note that the absence of content in the comment makes ",,28486,170,male_basic,,,,,,
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,male_basic,male,Male annotator,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a default rating for each attribute. 
1. sentiment: 3 (neutral)
2. respect: 2 (respectful)
3. insult: 1 (not insulting)
4. humiliat",,32127,174,male_basic,,,,,,
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,male_basic,male,Male annotator,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a default rating for each attribute. 

default ratings:
1. sentiment: 3
2. respect: 2
3. insult: 1
4. humiliate: 1
5. status: 2
6. ",,20018,45,male_basic,,,,,,
